name,rating,genre,year,released,score,votes,director,writer,star,country,budget,gross,company,runtime
Inception,PG-13,Action,2010,"July 16, 2010 (United States)",8.8,2100000,Christopher Nolan,Christopher Nolan,Leonardo DiCaprio,United States,160000000,836836967,Warner Bros.,148
Iron Man 2,PG-13,Action,2010,"May 7, 2010 (United States)",7,746000,Jon Favreau,Justin Theroux,Robert Downey Jr.,United States,200000000,623933331,Paramount Pictures,124
Shutter Island,R,Mystery,2010,"February 19, 2010 (United States)",8.2,1200000,Martin Scorsese,Laeta Kalogridis,Leonardo DiCaprio,United States,80000000,294805697,Paramount Pictures,138
Scott Pilgrim vs. the World,PG-13,Action,2010,"August 13, 2010 (United States)",7.5,394000,Edgar Wright,Michael Bacall,Michael Cera,United States,60000000,48917974,Universal Pictures,112
Grown Ups,PG-13,Comedy,2010,"June 25, 2010 (United States)",5.9,233000,Dennis Dugan,Adam Sandler,Adam Sandler,United States,80000000,271457301,Columbia Pictures,102
She's Out of My League,R,Comedy,2010,"March 12, 2010 (United States)",6.4,130000,Jim Field Smith,Sean Anders,Jay Baruchel,United States,20000000,49779728,Dreamworks Pictures,104
Kick-Ass,R,Action,2010,"April 16, 2010 (United States)",7.6,535000,Matthew Vaughn,Jane Goldman,Aaron Taylor-Johnson,United Kingdom,30000000,96188903,Marv Films,117
Black Swan,R,Drama,2010,"December 17, 2010 (United States)",8,716000,Darren Aronofsky,Mark Heyman,Natalie Portman,United States,13000000,329398046,Fox Searchlight Pictures,108
The Town,R,Crime,2010,"September 17, 2010 (United States)",7.5,363000,Ben Affleck,Peter Craig,Ben Affleck,United States,37000000,154026136,Warner Bros.,125
Harry Potter and the Deathly Hallows: Part 1,PG-13,Adventure,2010,"November 19, 2010 (United States)",7.7,495000,David Yates,Steve Kloves,Daniel Radcliffe,United Kingdom,0,977043483,Warner Bros.,146
Flipped,PG,Comedy,2010,"September 10, 2010 (United States)",7.7,85000,Rob Reiner,Rob Reiner,Madeline Carroll,United States,14000000,4324817,Castle Rock Entertainment,90
The Social Network,PG-13,Biography,2010,"October 1, 2010 (United States)",7.7,645000,David Fincher,Aaron Sorkin,Jesse Eisenberg,United States,40000000,224920375,Columbia Pictures,120
Robin Hood,PG-13,Action,2010,"May 14, 2010 (United States)",6.6,257000,Ridley Scott,Brian Helgeland,Russell Crowe,United States,200000000,321669741,Universal Pictures,140
Monsters,R,Adventure,2010,"December 3, 2010 (United Kingdom)",6.4,89000,Gareth Edwards,Gareth Edwards,Scoot McNairy,United Kingdom,500000,5060438,Protagonist Pictures,94
Insidious,PG-13,Horror,2010,"April 1, 2011 (United States)",6.8,287000,James Wan,Leigh Whannell,Patrick Wilson,United States,1500000,99557032,FilmDistrict,103
Tangled,PG,Animation,2010,"November 24, 2010 (United States)",7.7,417000,Nathan Greno,Dan Fogelman,Mandy Moore,United States,260000000,592462816,Walt Disney Animation Studios,100
RED,PG-13,Action,2010,"October 15, 2010 (United States)",7,295000,Robert Schwentke,Jon Hoeber,Bruce Willis,United States,58000000,199006387,Summit Entertainment,111
I Spit on Your Grave,R,Horror,2010,"January 20, 2011 (Argentina)",6.3,79000,Steven R. Monroe,Adam Rockoff,Sarah Butler,United States,2000000,1278650,Cinetel Films,108
The Last Airbender,PG,Action,2010,"July 1, 2010 (United States)",4,156000,M. Night Shyamalan,M. Night Shyamalan,Noah Ringer,United States,150000000,319713881,Paramount Pictures,103
How to Train Your Dragon,PG,Animation,2010,"March 26, 2010 (United States)",8.1,685000,Dean DeBlois,William Davies,Jay Baruchel,United States,165000000,494879471,DreamWorks Animation,98
The American,R,Crime,2010,"September 1, 2010 (United States)",6.3,94000,Anton Corbijn,Rowan Joffe,George Clooney,United States,20000000,67876281,Focus Features,105
Incendies,R,Drama,2010,"January 12, 2011 (France)",8.3,158000,Denis Villeneuve,Denis Villeneuve,Lubna Azabal,Canada,6800000,7099598,micro_scope,131
Sex and the City 2,R,Comedy,2010,"May 27, 2010 (United States)",4.5,76000,Michael Patrick King,Michael Patrick King,Sarah Jessica Parker,United States,100000000,290745055,New Line Cinema,146
Burlesque,PG-13,Drama,2010,"November 24, 2010 (United States)",6.4,81000,Steve Antin,Steve Antin,Cher,United States,55000000,89520336,Screen Gems,119
Alice in Wonderland,PG,Adventure,2010,"March 5, 2010 (United States)",6.4,392000,Tim Burton,Linda Woolverton,Mia Wasikowska,United States,200000000,1025468216,Walt Disney Pictures,108
Despicable Me,PG,Animation,2010,"July 9, 2010 (United States)",7.6,512000,Pierre Coffin,Cinco Paul,Steve Carell,United States,69000000,543113985,Universal Pictures,95
Love & Other Drugs,R,Comedy,2010,"November 24, 2010 (United States)",6.7,186000,Edward Zwick,Charles Randolph,Jake Gyllenhaal,United States,30000000,102820008,Fox 2000 Pictures,112
True Grit,PG-13,Drama,2010,"December 22, 2010 (United States)",7.6,319000,Ethan Coen,Joel Coen,Jeff Bridges,United States,38000000,252276927,Paramount Pictures,110
The Tourist,PG-13,Action,2010,"December 10, 2010 (United States)",6,230000,Florian Henckel von Donnersmarck,Florian Henckel von Donnersmarck,Johnny Depp,United States,100000000,278780441,GK Films,103
The Twilight Saga: Eclipse,PG-13,Action,2010,"June 30, 2010 (United States)",5,233000,David Slade,Melissa Rosenberg,Kristen Stewart,United States,68000000,698491347,Summit Entertainment,124
Percy Jackson & the Olympians: The Lightning Thief,PG,Adventure,2010,"February 12, 2010 (United States)",5.9,180000,Chris Columbus,Craig Titley,Logan Lerman,United Kingdom,95000000,226497209,Fox 2000 Pictures,118
Clash of the Titans,PG-13,Action,2010,"April 2, 2010 (United States)",5.8,274000,Louis Leterrier,Travis Beacham,Sam Worthington,United States,125000000,493214993,Warner Bros.,106
The Book of Eli,R,Action,2010,"January 15, 2010 (United States)",6.9,300000,Albert Hughes,Gary Whitta,Denzel Washington,United States,80000000,157107755,Alcon Entertainment,118
Blue Valentine,R,Drama,2010,"January 28, 2011 (United States)",7.3,188000,Derek Cianfrance,Derek Cianfrance,Ryan Gosling,United States,1000000,15440333,Incentive Filmed Entertainment,112
